,0,1,2,3,4,5,6,7,8,9,10
126,0.004,0.004,0.015,0.013,0.452,0.044,0.009,0.026,0.011,0.019,0
127,0,0.006,0,0,0.452,0.044,0.006,0.024,0.015,0.015,0
128,0,0,0.011,0.015,0.454,0.046,0.009,0.026,0.007,0.015,0
129,0,0.004,0,0.013,0.452,0.039,0.013,0.022,0.015,0.015,0.004
130,0.009,0.013,0.009,0.009,0.454,0.054,0.009,0.026,0.017,0.03,0.006
131,0.006,0.006,0.006,0,0.45,0.046,0.011,0.028,0.013,0.024,0.009
132,0.004,0.004,0.009,0,0.413,0.048,0.011,0.028,0.02,0.021,0.011
133,0.011,0.017,0.011,0,0.413,0.048,0.011,0.028,0.024,0.028,0.004
134,0.004,0.006,0.009,0.024,0.413,0.054,0.009,0.028,0.015,0.041,0.004
135,0.009,0.006,0.011,0.006,0.415,0.054,0.013,0.032,0.009,0.021,0.011
136,0.013,0.004,0.011,0.004,0.418,0.048,0.009,0.026,0.015,0.024,0.017
137,0.006,0.004,0.006,0.011,0.415,0.05,0.006,0.028,0.02,0.021,0.009
138,0.013,0,0.006,0.004,0.415,0.054,0.009,0.028,0.013,0.026,0.011
139,0.004,0.009,0.006,0.024,0.379,0.046,0.006,0.026,0.015,0.024,0.009
140,0.017,0,0.011,0.019,0.381,0.059,0.017,0.03,0.011,0.015,0.009
141,0.006,0.013,0.011,0.024,0.383,0.052,0.011,0.028,0.02,0.017,0.009
142,0.004,0,0,0.006,0.381,0.054,0.011,0.022,0.013,0.026,0.019
143,0.013,0.004,0.009,0.019,0.381,0.061,0.009,0.026,0.009,0.024,0.011
